"decile","total_cnt","min_prob","max_prob","default_cnt","non_default_cnt"
"1",49,0.000699540478247505,0.0119443794014123,0,49
"2",49,0.0128013710949324,0.0382709353228571,1,48
"3",49,0.0401112680900755,0.0858982179139323,4,45
"4",49,0.0873239934600054,0.135930575885281,4,45
"5",48,0.137156845827085,0.212597476550631,9,39
"6",49,0.212792162692194,0.300637769908393,15,34
"7",49,0.301718560502442,0.39251399002359,17,32
"8",49,0.39268447411436,0.508832992471196,19,30
"9",49,0.510006759831043,0.670993476413594,30,19
"10",49,0.676097162460399,0.986513594222989,37,12
